Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Agricultural land (sq. km),AG.LND.AGRI.K2,Afghanistan,AFG,380400,377530,379110,379100,379100,379100,379100,379100,379100,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Albania,ALB,11210,11440,12013.00049,12010,12013.00049,11873.00049,11742.90039,11743.00049,11816.99951,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Algeria,DZA,386760,400210,413740,413880,413981.9141,414316.4063,414310,414563.9844,413601.9922,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,American Samoa,ASM,30,48.00000191,49.00000095,49.00000095,49.00000095,49.00000095,49.00000095,49.00000095,49.00000095,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Andorra,AND,230,230,197.7000046,197.7000046,187.6000023,188.0999947,188.0999947,188.0999947,187.8000069,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Angola,AGO,574040,573000,583900,589900,589900,591900,591900,591900,591900,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Antigua and Barbuda,ATG,90,90,90,90,90,90,90,90,90,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Argentina,ARG,1275650,1285100,1474810,1482810,1492540,1491990,1487000,1487000,1487000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Armenia,ARM,..,13230,17350,16980.99976,16830,16830,16806.99951,16766.99951,16768.00049,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Aruba,ABW,20,20,20,20,20,20,20,20,20,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Australia,AUS,4644810,4555000,3985800,4096725.938,4054740,3966153.125,4062690,3659130,3710780,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Austria,AUT,30238.99902,29401.99951,27791.99951,27573.00049,27351.99951,27163.99902,27141.99951,27184.49951,26701.69922,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Azerbaijan,AZE,..,47403.99902,47667.99805,47687.00195,47682.99805,47697.99805,47697.00195,47697.99805,47730,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Bahamas, The",BHS,120,130,150,140,140,140,140,140,140,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bahrain,BHR,80,91.99999809,86.00000381,86.00000381,86.00000381,86.00000381,86.00000381,86.00000381,86.00000381,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bangladesh,BGD,103860,94000,92410,91280,91200,91080,90990,91622.40234,91942.09961,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Barbados,BRB,190,180,150,140,130,125,120,110,100,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Belarus,BLR,..,92520,88980,88750,87960,87112.00195,86239.00391,85742.00195,85327.00195,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Belgium,BEL,..,13895.99976,13556.99951,13356.99951,13320,13365,13313.00049,13280,13508.00049,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Belize,BLZ,1260,1490,1570,1570,1600,1600,1600,1600,1600,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Benin,BEN,22700,31950,34400,35300,37000,37500,37500,37500,37500,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bermuda,BMU,3.000000119,4.00000006,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bhutan,BTN,4540,5300,5200,5195.999756,5195.999756,5195.999756,5255.999756,5255.999756,5190,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bolivia,BOL,354550,371430,375160,375570,376510,377380,377020,376610,376850,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bosnia and Herzegovina,BIH,..,21300,21440,21510,21560,21610,21570,21760,22090,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Botswana,BWA,260210,259510,258610,259260,258870,258790,260010,258615.9961,258615.9961,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Brazil,BRA,2416080,2614060,2734630,2753730,2756070,2795620,2835790,2840830,2835460,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,British Virgin Islands,VGB,80,70,70,70,70,70,70,70,70,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Brunei Darussalam,BRN,110,100,133.9999962,133.9999962,133.9999962,143.9999962,143.9999962,143.9999962,143.9999962,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bulgaria,BGR,61590,55820,50520,50880,51230,49950,49770,50118.99902,50210,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Burkina Faso,BFA,95750,97700,120800,117900,121000,123000,121000,121000,121000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Burundi,BDI,21100,18670,18330,18830,19330,20330,20330,20330,20330,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cabo Verde,CPV,680,710,780,780,840,840,790,790,790,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cambodia,KHM,44550,47700,54550,54550,54550,54550,54550,54550,54550,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cameroon,CMR,91700,91600,97000,97500,97500,97500,97500,97500,97500,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Canada,CAN,677680,676130,632686.0156,625970,626118.0078,626266.0156,626413.9844,626561.9922,626710,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cayman Islands,CYM,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Central African Republic,CAF,50060,51490,50800,50800,50800,50800,50800,50800,50800,..,..,..
