Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EK,Livestock Patterns,2,Afghanistan,7213,Livestock units per agricultural land area,1107,Asses,2003,2003,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,7211,Share in total livestock,1107,Asses,2003,2003,% of total LSU,14.63,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,5118,Stocks,1107,Asses,2003,2003,Livestock units (LSU),799000,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,7213,Livestock units per agricultural land area,1126,Camels,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,7211,Share in total livestock,1126,Camels,2003,2003,% of total LSU,2.49,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,5118,Stocks,1126,Camels,2003,2003,Livestock units (LSU),135750,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,7213,Livestock units per agricultural land area,866,Cattle,2003,2003,LSU/ha,0.07,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,7211,Share in total livestock,866,Cattle,2003,2003,% of total LSU,49.08,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,5118,Stocks,866,Cattle,2003,2003,Livestock units (LSU),2680300,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,7213,Livestock units per agricultural land area,1057,Chickens,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,7211,Share in total livestock,1057,Chickens,2003,2003,% of total LSU,2.27,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,5118,Stocks,1057,Chickens,2003,2003,Livestock units (LSU),124020,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,7213,Livestock units per agricultural land area,1016,Goats,2003,2003,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,7211,Share in total livestock,1016,Goats,2003,2003,% of total LSU,13.59,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,5118,Stocks,1016,Goats,2003,2003,Livestock units (LSU),742500,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,7213,Livestock units per agricultural land area,1096,Horses,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,7211,Share in total livestock,1096,Horses,2003,2003,% of total LSU,1.05,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,5118,Stocks,1096,Horses,2003,2003,Livestock units (LSU),57600,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,7213,Livestock units per agricultural land area,1110,Mules,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,7211,Share in total livestock,1110,Mules,2003,2003,% of total LSU,0.27,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,5118,Stocks,1110,Mules,2003,2003,Livestock units (LSU),15000,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,7213,Livestock units per agricultural land area,976,Sheep,2003,2003,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,7211,Share in total livestock,976,Sheep,2003,2003,% of total LSU,16.61,Fc,Calculated data
EK,Livestock Patterns,2,Afghanistan,5118,Stocks,976,Sheep,2003,2003,Livestock units (LSU),907400,Fc,Calculated data
